,@type,id,name,shortName,country,countryCode,geometry,masl,validFrom,county,countyId,municipality,municipalityId,stationHolders,externalIds,wigosId,wmoId,icaoCodes,shipCodes
0,SensorSystem,SN47230,ÅKRA UNGDOMSSKOLE,Åkra ,Norge,NO,"{'@type': 'Point', 'coordinates': [5.1963, 59.2555], 'nearest': False}",18.0,2013-10-29T00:00:00.000Z,ROGALAND,11.0,KARMØY,1149.0,['KARMØY KOMMUNE'],['506131077'],0-578-0-47230,,,
1,SensorSystem,SN23670,E16 RYFOSS,E16 Ryfoss,Norge,NO,"{'@type': 'Point', 'coordinates': [8.8175, 61.1375], 'nearest': False}",406.0,2018-01-23T00:00:00.000Z,INNLANDET,34.0,VANG,3454.0,['STATENS VEGVESEN'],"['1755', '3000021']",0-578-0-23670,,,
2,SensorSystem,SN59450,STADLANDET,Stadlandet,Norge,NO,"{'@type': 'Point', 'coordinates': [5.2115, 62.1467], 'nearest': False}",75.0,1923-01-01T00:00:00.000Z,VESTLAND,46.0,STAD,4649.0,['MET.NO'],['10.249.1.80'],0-578-0-59450,,,
3,SensorSystem,SN12590,E6 MJØSBRUA,E6 Mjøsbrua,Norge,NO,"{'@type': 'Point', 'coordinates': [10.6725, 60.928], 'nearest': False}",128.0,2011-01-01T00:00:00.000Z,INNLANDET,34.0,RINGSAKER,3411.0,['STATENS VEGVESEN'],"['149', '429003']",0-578-0-12590,,,
4,SensorSystem,SN26640,E134 DARBU,E134 Darbu,Norge,NO,"{'@type': 'Point', 'coordinates': [9.7773, 59.7025], 'nearest': False}",155.0,2016-04-19T00:00:00.000Z,VIKEN,30.0,ØVRE EIKER,3048.0,['STATENS VEGVESEN'],"['1645', '629024']",0-578-0-26640,,,
5,SensorSystem,SN67650,FV30 REITSTØA,FV30 Reitstøa ,Norge,NO,"{'@type': 'Point', 'coordinates': [10.8718, 62.9637], 'nearest': False}",218.0,2018-11-27T00:00:00.000Z,TRØNDELAG,50.0,MIDTRE GAULDAL,5027.0,['STATENS VEGVESEN'],"['1787', '3000059']",0-578-0-67650,,,
6,SensorSystem,SN18269,OSLO - HAUGENSTUA,Haugenstua,Norge,NO,"{'@type': 'Point', 'coordinates': [10.9035, 59.9535], 'nearest': False}",123.0,2000-01-01T00:00:00.000Z,OSLO,3.0,OSLO,301.0,"['OSLO KOMMUNE, VANN- OG AVLØPSETATEN']",,0-578-0-18269,,,
7,SensorSystem,SN57790,MYKLEBUSTFJELLET,Myklebustfjellet,Norge,NO,"{'@type': 'Point', 'coordinates': [5.2007, 61.6788], 'nearest': False}",715.0,2014-10-31T00:00:00.000Z,VESTLAND,46.0,BREMANGER,4648.0,['MET.NO'],,0-578-0-57790,,,
8,SensorSystem,SN99895,KVADEHUKEN II,Kvadehuken,Svalbard og Jan Mayen,SJ,"{'@type': 'Point', 'coordinates': [11.3475, 78.9633], 'nearest': False}",5.0,2021-06-29T00:00:00.000Z,SVALBARD,21.0,SVALBARD,2100.0,[],,0-744-0-99895,,,
9,SensorSystem,SN233100,HUNGE,Hunge,Sverige,SE,"{'@type': 'Point', 'coordinates': [15.0877777777778, 62.7513888888889], 'nearest': False}",343.0,1995-10-01T00:00:00.000Z,,,JÄMTLANDS LÄN,7522300.0,['SMHI'],"['0-20000-0-02331', '125440']",,2331.0,,
10,SensorSystem,SN61065,E136 TRESFJORDBRUA,Tresfjordbrua,Norge,NO,"{'@type': 'Point', 'coordinates': [7.1135, 62.6112], 'nearest': False}",20.0,2016-04-12T00:00:00.000Z,MØRE OG ROMSDAL,15.0,VESTNES,1535.0,['STATENS VEGVESEN'],"['1529022', '1651']",0-578-0-61065,,,
11,SensorSystem,SN1039300,LINDENBERG,,Tyskland,DE,"{'@type': 'Point', 'coordinates': [14.1206, 52.20925], 'nearest': False}",112.0,1947-07-14T00:00:00.000Z,,,,,[],"['0-20000-0-10393', '0-20001-0-10393']",,10393.0,,
12,SensorSystem,SN743400,LIMOGES-BELLEGARDE,,Frankrike,FR,"{'@type': 'Point', 'coordinates': [1.175, 45.8611111111111], 'nearest': False}",396.0,2006-06-12T00:00:00.000Z,,,,,[],['0-20000-0-07434'],,7434.0,,
